76,99,5000,-1,4000,100
80,99,5000,-1,4000,100
86,99,5000,-1,40000,100
86,99,5000,-1,40000,100
87,99,5000,-1,40000,100
85,99,5000,-1,40000,100
85,99,5000,-1,40000,100
85,99,5000,-1,40000,100
51,93,5000,-1,40000,100
51,92,500,-1,4000,100
51,93,500,-1,4000,100
51,93,500,-1,4000,100
51,93,500,-1,4000,100
51,92,500,-1,391501,100
51,92,500,-1,391501,100
51,92,500,-1,391501,100
90,99,500,-1,391501,100
91,99,500,-1,391501,100
90,99,500,0,391501,100
90,99,500,0,391501,100
51,99,500,0,391501,100
58,99,500,0,391501,100
57,99,500,0,391501,100
57,99,500,0,391501,100
55,99,500,0,391501,100
55,99,500,0,391501,100
55,99,500,0,391501,1000
